Road,2021 [Note 2],2022 [Note 2],2023
A1,56.4,55.8,54.6
A1(M),64.9,63.9,63.4
A1053,47.6,45.3,44.8
A1089,45.9,46.1,46.6
A11,62.3,59.0,58.2
A12,60.9,57.7,54.6
A120,55.1,53.5,52.5
A13,51.6,51.1,51.3
A1307,52.6,53.3,52.8
A14,61.8,60.9,60.5
A141,47.1,46.6,46.6
A160,40.6,40.8,40.4
A162,53.1,55.4,52.2
A168,65.2,65.2,64.1
A174,61.1,61.0,60.9
A180,62.1,59.9,62.0
A184,47.1,51.6,52.2
A19,57.6,59.2,58.1
A194(M),56.7,58.1,58.1
A2,56.5,57.5,56.9
A20,49.8,48.4,48.2
A2070,45.1,40.1,40.6
A21,53.0,53.6,52.1
A2270,12.6,13.7,13.4
A23,62.4,61.0,60.0
A249,46.7,45.5,43.4
A259,35.0,34.1,33.4
A26,39.6,39.5,39.2
A260,35.0,34.9,34.6
A27,49.7,49.5,48.4
A3,62.0,61.1,58.8
A3(M),67.1,66.0,65.0
A30,59.0,59.2,58.1
A303,56.9,57.4,56.4
A308(M),26.6,30.8,30.7
A31,50.4,49.2,49.4
A3113,38.5,37.9,37.1
A316,49.1,48.4,48.7
A335,19.2,18.5,18.0
A34,61.4,60.7,59.1
A35,45.2,46.1,46.0
A36,40.7,40.3,39.5
A38,58.5,57.2,56.6
A38(M),43.7,44.3,43.4
A4,49.6,49.2,46.7
A40,47.3,47.4,47.3
A404,55.4,54.2,51.7
A404(M),58.7,59.7,58.4
A405,31.8,32.1,31.4
A41,25.5,26.3,26.1
A414,55.2,55.6,55.2
A417,55.8,54.4,52.5
A419,62.8,63.4,63.3
A42,64.3,63.4,62.8
A421,63.2,62.1,61.4
A428,54.1,53.7,52.7
A43,56.7,55.7,53.9
A446,49.5,48.0,47.0
A449,35.8,35.3,34.6
A45,54.1,53.8,53.1
A452,48.6,46.7,45.0
A453,46.9,46.4,44.8
A456,38.7,38.2,37.2
A458,45.9,45.8,45.5
A46,54.2,53.5,53.3
A47,51.2,50.7,50.3
A483,48.5,48.7,46.5
A49,38.5,38.6,38.3
A494,63.3,63.4,62.8
A5,48.1,47.3,46.2
A50,57.8,57.3,56.2
A500,48.7,47.4,47.1
A5036,25.7,25.8,24.0
A5103,46.0,43.2,42.0
A5111,44.5,44.2,44.0
A5127,27.3,35.5,31.7
A5148,53.9,51.9,51.1
A5183,30.9,30.6,30.2
A52,44.2,43.8,43.6
A55,64.7,64.9,64.0
A550,38.4,38.6,37.7
A556,58.0,58.0,57.3
A56,58.6,57.1,55.8
A57,17.1,16.4,15.5
A585,32.1,31.5,30.0
A59,27.8,28.4,28.7
A590,48.0,48.2,47.5
A595,43.2,43.1,42.8
A6,55.1,52.7,52.1
A601(M),40.2,41.1,40.8
A61,29.5,28.4,28.0
A616,43.2,43.2,42.5
A627(M),50.8,49.0,47.8
A628,36.2,36.8,36.2
A63,46.7,50.2,50.0
A638,47.6,47.6,46.7
A64,54.6,54.9,54.2
A66,52.6,52.4,51.6
A66(M),62.2,61.5,61.1
A663,24.0,23.6,22.0
A69,52.7,55.2,54.6
A696,58.7,58.2,57.8
A74(M),65.1,65.3,65.2
M1,62.4,61.8,60.7
M11,60.6,59.9,59.4
M18,64.3,63.0,62.0
M180,62.8,62.6,63.4
M181,48.1,48.7,48.7
M2,64.5,63.5,63.1
M20,61.9,58.6,59.3
M23,66.6,65.6,65.1
M25,57.7,55.3,53.6
M26,64.2,63.9,63.3
M27,53.4,62.3,63.1
M275,55.4,57.9,57.1
M3,65.4,63.5,62.0
M32,49.2,48.2,46.7
M4,60.0,62.4,62.3
M40,67.1,66.2,65.6
M42,60.5,58.7,55.3
M45,63.4,63.0,63.5
M48,62.3,57.5,58.3
M49,63.6,64.0,63.2
M5,64.3,63.9,63.1
M50,66.7,66.3,66.0
M53,66.3,65.1,64.7
M54,66.7,65.5,65.1
M55,64.6,59.9,61.6
M56,60.1,57.9,58.9
M57,64.5,63.1,62.8
M58,62.3,63.1,62.5
M6,59.6,58.7,58.0
M6 TOLL,67.5,66.6,66.2
M60,58.0,54.7,53.4
M602,55.7,53.6,53.3
M606,52.1,53.9,54.2
M61,64.4,63.7,62.6
M62,62.7,59.5,58.3
M621,55.9,50.1,43.3
M65,66.3,65.2,64.3
M66,65.5,61.5,62.2
M67,54.6,53.9,50.2
M69,67.4,66.4,65.3
